Player,Tm,salary_22_23,salary_23_24,Guaranteed,-9999
Joe Wieskamp,SAS,"$2,720,989","$1,927,896","$2,175,000",wieskjo01
Udoka Azubuike,UTA,"$2,174,880",,"$2,174,880",azubuud01
Jaden McDaniels,MIN,"$2,161,440","$3,901,399","$6,062,839",mcdanja02
Jordan McLaughlin,MIN,"$2,160,000","$2,320,000","$2,160,000",mclaujo01
Malachi Flynn,TOR,"$2,145,720","$3,873,025","$6,018,745",flynnma01
Cam Thomas,BRK,"$2,138,160","$2,240,160","$2,138,160",thomaca02
PJ Dozier,MIN,"$539,450","$2,413,304","$2,133,278",doziepj01
Luke Kornet,BOS,"$2,133,278","$2,413,304","$2,133,278",kornelu01
Desmond Bane,MEM,"$2,130,240","$3,845,083","$5,975,323",banede01
Jaden Springer,PHI,"$2,125,200","$2,226,240","$4,351,440",sprinja01
Day'Ron Sharpe,BRK,"$2,109,480","$2,210,040","$2,109,480",sharpda01
Jevon Carter,MIL,"$6,025,000","$2,239,943","$2,100,000",carteje01
